Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
117,,10.5,3.656366395715726,-84.51377438961485,5.142486272713867,2.6952895024176637,11.82842712474619,116.0,145.61904761904762,165.0
118,,11.75,3.8678889139475245,40.93902776034256,5.419477983841743,2.776740989702679,12.778174593052022,135.0,156.04255319148936,174.0
119,,5.75,2.7057581899030048,83.83878165895713,3.333640804401902,2.1761457335774375,7.707106781186548,120.0,145.43478260869566,159.0
120,,11.25,3.7846987830302403,-9.760267010363982,5.1595891218576435,3.480580779517132,14.760407640085653,119.0,135.04444444444445,149.0
121,,6.75,2.9316150714175193,-84.24186911359213,4.311091795161056,2.200873193735194,9.82842712474619,129.0,142.85185185185185,151.0
122,,27.5,5.917270272703197,78.06396375801889,7.383887773959652,5.227061151710199,21.071067811865476,119.0,152.51818181818183,179.0
123,,69.75,9.423823971471327,-59.76008434236292,9.88539948332543,9.525116457977202,34.65990257669732,115.0,148.40501792114696,185.0
124,,7.0,2.985410660720923,-37.47267813276549,4.020989958656887,2.273405913218763,9.431980515339465,138.0,153.0,163.0
125,,8.0,3.1915382432114616,19.961368886302164,4.1201726520667,2.5412144866503605,10.017766952966369,126.0,135.78125,145.0
126,,7.25,3.0382538898732494,-17.91883288426942,3.3525003001328084,2.8409657803633674,9.017766952966369,117.0,138.27586206896552,152.0
127,,41.75,7.2909362219603215,-6.789474859522278,9.340339384519877,5.916232939879147,24.77817459305202,113.0,144.2694610778443,207.0
128,,12.5,3.989422804014327,86.39052047770862,5.910142944887402,2.799108853009769,13.828427124746192,124.0,156.3,179.0
129,,7.5,3.0901936161855166,14.481372649460882,3.7039986044006548,2.6940995000882535,9.535533905932738,131.0,139.83333333333334,148.0
130,,23.25,5.440847306724618,62.99825544995827,7.155093027439685,4.436097891098022,19.192388155425117,124.0,151.33333333333334,190.0
131,,32.75,6.457444935117649,-20.58715982485637,10.375489808433523,4.40783224964853,26.606601717798213,118.0,141.5801526717557,165.0
132,,4.75,2.4592453796829674,38.73560999588542,3.2097598363331126,1.992212322295782,7.65685424949238,135.0,159.73684210526315,177.0
